file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"remove/2[int[],int]",false,4213,2,2,1,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,67,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,clone/1[byte[]],false,357,1,2,2,0,2,1,6,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,22,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"contains/2[java.lang.Object[],java.lang.Object]",false,1312,1,1,0,1,2,1,3,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,33,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"subarray/3[java.lang.Object[],int,int]",false,441,0,0,0,0,5,4,19,3,3,3,4,0,0,0,1,0,0,0,5,5,1,1,0,0,0,55,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"lastIndexOf/3[long[],long,int]",false,1389,1,1,1,0,6,0,17,4,1,3,0,0,0,1,2,0,0,0,3,2,1,2,0,0,0,57,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,toObject/1[char[]],false,2326,1,0,0,0,4,0,13,3,2,1,0,0,0,1,2,0,0,0,2,3,0,1,0,0,0,32,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,reverse/1[double[]],false,1132,1,0,0,0,3,0,15,1,3,1,0,0,0,1,1,0,0,0,2,5,1,1,0,0,0,22,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,isEmpty/1[int[]],false,2851,1,0,0,0,3,0,6,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,18,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,isEmpty/1[char[]],false,2879,1,0,0,0,3,0,6,2,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,18,9,0,true
C:\Users\steng\Desktop\mutation-analysis\kintis-funcs-updated\static-metrics\ck\target\..\..\..\commons\src\main\java\xorg\apache\commons\lang\ArrayUtils.java,xorg.apache.commons.lang.ArrayUtils,"contains/2[long[],long]",false,1415,2,1,0,1,2,1,3,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,34,9,0,true
